,listed_price,value,value_description,make_and_model,year,mileage,trim_level,color,location,additional_description,discount,car_URL,thumbnail_URL,make_first,make_second,state,Accident,Past Owners,Usage,is_Excellent_Price,is_Great_Price,is_Fleet_Use,is_Personal_Use
498,9601,Excellent Price,"$1,632 off avg. list price",Toyota Camry,2014,74422,2014 LE I4 Automatic,"Silver exterior, Gray interior","Chantilly, VA","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/4T4BF1FK8ER435758/2014-toyota-camry/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Camry, VA,0,1, Personal use,1,0,0,1
499,4950,Excellent Price,$758 off avg. list price,Toyota Corolla,2010,162500,LE Automatic,"Silver exterior, Gray interior","Forest Lake, MN","No accidents, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/2T1BU4EE9AC387762/2010-toyota-corolla/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Toyota,Corolla, MN,0,2, Personal use,1,0,0,1
500,5500,Excellent Price,$847 off avg. list price,Ford Fusion,2010,104398,SEL FWD,"Red exterior, Brown interior","Bellevue, NE","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3FAHP0JG7AR394078/2010-ford-fusion/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Ford,Fusion, NE,0,1, Personal use,1,0,0,1
501,9950,Excellent Price,"$1,718 off avg. list price",Kia Soul,2018,35043,Base Automatic,"Gray exterior, Gray interior","Phoenix, AZ","1 accident, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/KNDJN2A28J7558656/2018-kia-soul/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kia,Soul, AZ,1,1, Personal use,1,0,0,1
502,8499,Excellent Price,"$1,062 off avg. list price",Nissan Altima,2014,58150,2.5 S,"White exterior, Black interior","Seattle, WA","No accidents, 4 Owners, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3APXEC126533/2014-nissan-altima/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Altima, WA,0,4, Fleet use,1,0,1,0
503,11590,Excellent Price,,Nissan Sentra,2018,25271,S CVT,"Black exterior, Black interior","Blue Mound, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP7JY345166/2018-nissan-sentra/?zipcode=76131,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Sentra, TX,0,1, Personal use,1,0,0,1
504,5499,Excellent Price,$908 off avg. list price,Honda Accord,2008,147980,LX Sedan I4 Automatic,"Silver exterior, Gray interior","Lynnwood, WA","No accidents, 2 Owners, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/JHMCP26388C050109/2008-honda-accord/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,Accord, WA,0,2, Personal use,1,0,0,1
505,7989,Excellent Price,"$1,202 off avg. list price",Honda Civic,2011,55501,LX Sedan Automatic,"Silver exterior, Gray interior","Marietta, GA","2 accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/19XFA1F59BE038059/2011-honda-civic/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,Civic, GA,2,1, Personal use,1,0,0,1
506,8995,Excellent Price,"$1,138 off avg. list price",Chrysler 200,2015,96467,Limited FWD,"Black exterior, Black interior","Newport News, VA","No accidents, 3 Owners, Fleet use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/1C3CCCAB6FN730386/2015-chrysler-200/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Chrysler,200, VA,0,3, Fleet use,1,0,1,0
507,9000,Excellent Price,"$1,407 off avg. list price",Toyota RAV4,2012,102092,I4 FWD,"Blue exterior, Gray interior","Salisbury, MD","No accidents, 1 Owner, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/JTMZF4DV5C5046174/2012-toyota-rav4/,https://listings-prod.tcimg.net/listings/134140/74/61/JTMZF4DV5C5046174/UH7IFXNX5HJWPOAFO5I3CKWGQU-318.jpg,Toyota,RAV4, MD,0,1, Personal use,1,0,0,1
508,11590,Excellent Price,,Nissan Sentra,2017,26213,SV CVT,"White exterior, Black interior","Blue Mound, TX","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB7AP9HY405670/2017-nissan-sentra/?zipcode=76131,https://listings-prod.tcimg.net/listings/77763/70/56/3N1AB7AP9HY405670/MZICDMCMD7FI5SBUI6FXY2JTUQ-318.jpg,Nissan,Sentra, TX,0,1, Personal use,1,0,0,1
509,6880,Excellent Price,"$1,286 off avg. list price",MINI Hardtop,2011,103614,S Hardtop 2-Door,"Gray exterior, Black interior","Kent, WA","No accidents, 2 Owners, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/WMWSV3C54BTY11964/2011-mini-hardtop/,https://listings-prod.tcimg.net/listings/168247/64/19/WMWSV3C54BTY11964/VL32LEYSHEW4VBVRH2CN7XZMWY-318.jpg,MINI,Hardtop, WA,0,2, Personal use,1,0,0,1
510,17475,Excellent Price,"$2,510 off avg. list price",Toyota Camry,2018,51774,XLE I4 Automatic,"Silver exterior, Unknown interior","Ocoee, FL","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/4T1B11HK0JU094212/2018-toyota-camry/,https://listings-prod.tcimg.net/listings/45392/12/42/4T1B11HK0JU094212/RP7PCDI6YQWQRYCCIRD3WF2FQE-318.jpg,Toyota,Camry, FL,0,1, Personal use,1,0,0,1
511,19275,Excellent Price,"$2,752 off avg. list price",Toyota Camry,2018,22115,XLE I4 Automatic,"Silver exterior, Unknown interior","Ocoee, FL","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/4T1B11HK9JU039225/2018-toyota-camry/,https://listings-prod.tcimg.net/listings/45392/25/92/4T1B11HK9JU039225/37ZSPKL7JRTNMQ3EMXO3ALTPLA-318.jpg,Toyota,Camry, FL,0,1, Personal use,1,0,0,1
512,6849,Excellent Price,"$1,030 off avg. list price",Chevrolet Equinox,2013,132515,LT with 1LT FWD,"White exterior, Black interior","Jacksonville, FL","No accidents, 2 Owners, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/2GNALDEK2D1160475/2013-chevrolet-equinox/,https://listings-prod.tcimg.net/listings/77156/75/04/2GNALDEK2D1160475/LGVJLOOTK7XUIQNXKEHHS6RDZM-318.jpg,Chevrolet,Equinox, FL,0,2, Personal use,1,0,0,1
